Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,OptionA.Blazor.Blog.Builder\OptionA.Blazor.Blog.Builder.csproj,File,OptionA.Blazor.Blog.Builder\OptionA.Blazor.Blog.Builder.csproj,,,Microsoft.AspNetCore.Components.Web 9.0.1,,,,,"Microsoft.AspNetCore.Components.Web, 9.0.1  Recommendation:  Remove Microsoft.AspNetCore.Components.Web, and replace with new package Microsoft.AspNetCore.Components.Web 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,OptionA.Blazor.Blog.Builder\OptionA.Blazor.Blog.Builder.csproj,File,OptionA.Blazor.Blog.Builder\OptionA.Blazor.Blog.Builder.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,OptionA.Blazor.Blog\OptionA.Blazor.Blog.csproj,File,OptionA.Blazor.Blog\OptionA.Blazor.Blog.csproj,,,Microsoft.AspNetCore.Components.Web 9.0.1,,,,,"Microsoft.AspNetCore.Components.Web, 9.0.1  Recommendation:  Remove Microsoft.AspNetCore.Components.Web, and replace with new package Microsoft.AspNetCore.Components.Web 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,OptionA.Blazor.Blog\OptionA.Blazor.Blog.csproj,File,OptionA.Blazor.Blog\OptionA.Blazor.Blog.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Blog\OptionA.Blazor.Blog.csproj,File,OptionA.Blazor.Blog\Code\Parsers\ParserBase.cs,160,8,M:System.String.Split(System.ReadOnlySpan{System.Char}),,,,,"var interpolated = word.Split('{', '}');"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,OptionA.Blazor.Blog.UnitTests\OptionA.Blazor.Blog.UnitTests.csproj,File,OptionA.Blazor.Blog.UnitTests\OptionA.Blazor.Blog.UnitTests.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,OptionA.Blazor.Components\OptionA.Blazor.Components.csproj,File,OptionA.Blazor.Components\OptionA.Blazor.Components.csproj,,,Microsoft.AspNetCore.Components.Web 9.0.1,,,,,"Microsoft.AspNetCore.Components.Web, 9.0.1  Recommendation:  Remove Microsoft.AspNetCore.Components.Web, and replace with new package Microsoft.AspNetCore.Components.Web 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,OptionA.Blazor.Components\OptionA.Blazor.Components.csproj,File,OptionA.Blazor.Components\OptionA.Blazor.Components.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,OptionA.Blazor.Components.Direct\OptionA.Blazor.Components.Direct.csproj,File,OptionA.Blazor.Components.Direct\OptionA.Blazor.Components.Direct.csproj,,,Microsoft.AspNetCore.Components.Web 9.0.1,,,,,"Microsoft.AspNetCore.Components.Web, 9.0.1  Recommendation:  Remove Microsoft.AspNetCore.Components.Web, and replace with new package Microsoft.AspNetCore.Components.Web 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,OptionA.Blazor.Components.Direct\OptionA.Blazor.Components.Direct.csproj,File,OptionA.Blazor.Components.Direct\OptionA.Blazor.Components.Direct.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
